"filename", "language", "Java", "comment", "blank", "total"
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest.java", "Java", -6, 0, -3, -9
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest0.java", "Java", -9757, -356, -504, -10617
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest1.java", "Java", -11161, -302, -504, -11967
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest10.java", "Java", -12052, -126, -504, -12682
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest11.java", "Java", -12219, -136, -504, -12859
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest12.java", "Java", -12273, -108, -504, -12885
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest13.java", "Java", -12122, -100, -504, -12726
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest14.java", "Java", -12374, -88, -504, -12966
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest15.java", "Java", -12425, -96, -504, -13025
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest16.java", "Java", -12476, -122, -504, -13102
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest17.java", "Java", -12369, -88, -504, -12961
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest18.java", "Java", -12273, -98, -504, -12875
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest19.java", "Java", -11608, -106, -469, -12183
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest2.java", "Java", -11399, -278, -504, -12181
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest3.java", "Java", -11684, -236, -504, -12424
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest4.java", "Java", -11788, -188, -504, -12480
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest5.java", "Java", -11925, -164, -504, -12593
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest6.java", "Java", -12003, -170, -504, -12677
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest7.java", "Java", -11861, -124, -504, -12489
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest8.java", "Java", -12019, -148, -504, -12671
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/01/RegressionTest9.java", "Java", -12211, -136, -504, -12851
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest.java", "Java", 6, 0, 3, 9
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest0.java", "Java", 10639, 322, 504, 11465
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest1.java", "Java", 12181, 312, 504, 12997
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest10.java", "Java", 13131, 114, 504, 13749
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest11.java", "Java", 13174, 104, 504, 13782
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest12.java", "Java", 13639, 98, 504, 14241
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest13.java", "Java", 13099, 96, 504, 13699
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest14.java", "Java", 13183, 100, 504, 13787
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest15.java", "Java", 13487, 112, 504, 14103
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest16.java", "Java", 13479, 74, 504, 14057
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest17.java", "Java", 13494, 94, 504, 14092
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest18.java", "Java", 7117, 56, 275, 7448
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest2.java", "Java", 12491, 258, 504, 13253
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest3.java", "Java", 12568, 238, 504, 13310
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest4.java", "Java", 13070, 208, 504, 13782
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest5.java", "Java", 12547, 146, 504, 13197
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest6.java", "Java", 12943, 170, 504, 13617
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest7.java", "Java", 12834, 150, 504, 13488
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest8.java", "Java", 13009, 128, 504, 13641
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest9.java", "Java", 13219, 128, 504, 13851
"Total", "-", 1305, -262, -698, 345
