"filename", "language", "Java", "comment", "blank", "total"
"/home/oscar/eclipse-workspace/Resultados/ChatGPT/Biblioteca/03/tests.java", "Java", 69, 1, 14, 84
"Total", "-", 69, 1, 14, 84
